time,open,high,low,close,tick_volume,spread,real_volume
2023-10-23 23:45:00,1973.1,1973.11,1972.38,1972.77,176,12,0
2023-10-24 01:00:00,1973.08,1973.76,1973.08,1973.63,155,12,0
2023-10-24 01:15:00,1973.63,1973.75,1973.34,1973.47,184,12,0
2023-10-24 01:30:00,1973.47,1973.49,1973.15,1973.23,108,12,0
2023-10-24 01:45:00,1973.2,1973.58,1972.99,1973.01,179,12,0
2023-10-24 02:00:00,1973.01,1973.58,1972.95,1973.02,153,12,0
2023-10-24 02:15:00,1973.07,1973.6,1973.03,1973.54,165,12,0
2023-10-24 02:30:00,1973.54,1973.8,1972.33,1972.37,238,12,0
2023-10-24 02:45:00,1972.37,1973.72,1971.4,1973.6,368,12,0
2023-10-24 03:00:00,1973.61,1974.0,1973.4,1973.81,310,12,0
2023-10-24 03:15:00,1973.76,1975.75,1973.31,1975.05,509,12,0
2023-10-24 03:30:00,1975.02,1975.95,1973.52,1974.15,487,12,0
2023-10-24 03:45:00,1974.15,1974.33,1972.42,1973.82,706,12,0
2023-10-24 04:00:00,1973.82,1978.08,1973.82,1977.85,975,12,0
2023-10-24 04:15:00,1977.85,1978.71,1976.54,1977.78,933,12,0
2023-10-24 04:30:00,1977.83,1978.04,1976.46,1977.04,866,12,0
2023-10-24 04:45:00,1977.04,1977.5,1975.75,1976.56,625,12,0
2023-10-24 05:00:00,1976.59,1977.75,1975.7,1977.69,626,12,0
2023-10-24 05:15:00,1977.73,1980.84,1977.65,1979.47,1057,12,0
2023-10-24 05:30:00,1979.47,1980.21,1978.14,1978.28,783,12,0
2023-10-24 05:45:00,1978.29,1979.87,1977.59,1977.65,859,12,0
2023-10-24 06:00:00,1977.65,1978.13,1975.76,1975.77,775,12,0
2023-10-24 06:15:00,1975.77,1978.04,1975.39,1977.36,912,12,0
2023-10-24 06:30:00,1977.34,1978.23,1977.06,1977.14,345,12,0
2023-10-24 06:45:00,1977.14,1977.21,1976.82,1976.9,208,12,0
2023-10-24 07:00:00,1976.82,1976.98,1975.55,1975.7,322,12,0
2023-10-24 07:15:00,1975.74,1976.16,1975.34,1975.81,355,12,0
2023-10-24 07:30:00,1975.81,1976.02,1975.63,1975.98,251,12,0
2023-10-24 07:45:00,1975.98,1977.38,1975.58,1976.17,493,12,0
2023-10-24 08:00:00,1976.2,1976.52,1975.43,1975.44,390,12,0
2023-10-24 08:15:00,1975.44,1976.42,1975.44,1976.12,317,12,0
2023-10-24 08:30:00,1976.12,1976.59,1975.26,1975.8,496,12,0
2023-10-24 08:45:00,1975.8,1976.66,1974.48,1976.51,694,12,0
2023-10-24 09:00:00,1976.46,1977.61,1975.68,1977.21,925,12,0
2023-10-24 09:15:00,1977.21,1978.07,1976.31,1977.15,794,12,0
2023-10-24 09:30:00,1977.16,1977.9,1976.01,1977.48,872,12,0
2023-10-24 09:45:00,1977.48,1977.9,1976.42,1977.53,1030,12,0
2023-10-24 10:00:00,1977.65,1979.18,1977.45,1977.81,1479,12,0
2023-10-24 10:15:00,1977.62,1978.34,1975.99,1976.45,1442,12,0
2023-10-24 10:30:00,1976.19,1977.49,1975.17,1975.25,1428,12,0
2023-10-24 10:45:00,1975.29,1976.81,1974.88,1975.33,1223,12,0
2023-10-24 11:00:00,1975.48,1975.95,1973.72,1973.98,1187,12,0
2023-10-24 11:15:00,1973.96,1975.13,1973.45,1974.49,1093,12,0
2023-10-24 11:30:00,1974.49,1974.89,1971.43,1971.8,1276,12,0
2023-10-24 11:45:00,1971.8,1973.35,1970.02,1972.26,1499,12,0
2023-10-24 12:00:00,1972.26,1972.5,1970.92,1971.06,1001,12,0
2023-10-24 12:15:00,1971.06,1971.45,1966.2,1967.38,1520,12,0
2023-10-24 12:30:00,1967.39,1967.99,1964.95,1967.31,1186,12,0
2023-10-24 12:45:00,1967.31,1967.89,1966.11,1966.58,929,12,0
2023-10-24 13:00:00,1966.5,1967.42,1965.57,1965.94,955,12,0
2023-10-24 13:15:00,1965.88,1967.26,1964.24,1964.78,1216,12,0
2023-10-24 13:30:00,1964.82,1965.29,1963.78,1963.78,839,12,0
2023-10-24 13:45:00,1963.78,1964.28,1960.99,1961.8,1202,12,0
2023-10-24 14:00:00,1961.85,1961.88,1953.58,1958.71,1770,12,0
2023-10-24 14:15:00,1958.71,1961.8,1958.47,1960.95,1299,12,0
2023-10-24 14:30:00,1960.94,1962.72,1960.8,1961.9,1144,12,0
2023-10-24 14:45:00,1961.86,1964.22,1961.86,1963.68,1142,12,0
2023-10-24 15:00:00,1963.68,1963.89,1960.73,1962.17,1459,12,0
2023-10-24 15:15:00,1962.17,1966.83,1960.78,1963.15,1841,12,0
2023-10-24 15:30:00,1963.26,1965.53,1962.54,1964.23,1686,12,0
2023-10-24 15:45:00,1964.23,1964.95,1963.06,1964.85,1467,12,0
2023-10-24 16:00:00,1964.9,1966.16,1964.5,1965.36,1525,12,0
2023-10-24 16:15:00,1965.35,1966.02,1962.06,1963.36,1593,12,0
2023-10-24 16:30:00,1963.31,1964.5,1960.13,1964.02,2238,12,0
2023-10-24 16:45:00,1964.02,1965.62,1959.28,1964.53,2465,12,0
2023-10-24 17:00:00,1964.51,1965.85,1962.82,1964.04,2158,12,0
2023-10-24 17:15:00,1964.0,1965.58,1963.17,1964.79,1877,12,0
2023-10-24 17:30:00,1964.78,1965.34,1961.74,1962.75,1853,12,0
2023-10-24 17:45:00,1962.76,1965.33,1962.45,1963.8,1669,12,0
2023-10-24 18:00:00,1963.83,1964.13,1961.27,1961.63,1669,12,0
2023-10-24 18:15:00,1961.64,1964.72,1961.37,1964.4,1638,12,0
2023-10-24 18:30:00,1964.39,1966.13,1962.51,1965.2,1524,12,0
2023-10-24 18:45:00,1965.24,1970.07,1965.22,1969.81,1682,12,0
2023-10-24 19:00:00,1969.76,1970.75,1968.88,1970.63,1357,12,0
2023-10-24 19:15:00,1970.6,1973.38,1970.46,1973.28,1456,12,0
2023-10-24 19:30:00,1973.28,1975.97,1973.08,1975.85,1447,12,0
2023-10-24 19:45:00,1975.83,1975.95,1973.18,1974.28,1367,12,0
2023-10-24 20:00:00,1974.3,1975.61,1973.61,1974.88,1413,12,0
2023-10-24 20:15:00,1974.89,1975.19,1973.69,1974.77,1253,12,0
2023-10-24 20:30:00,1974.77,1975.95,1974.22,1975.83,985,12,0
2023-10-24 20:45:00,1975.85,1977.55,1975.84,1975.9,886,12,0
2023-10-24 21:00:00,1975.91,1976.19,1974.03,1974.51,745,12,0
2023-10-24 21:15:00,1974.51,1974.95,1973.96,1974.1,592,12,0
2023-10-24 21:30:00,1974.13,1974.34,1971.86,1972.25,746,12,0
2023-10-24 21:45:00,1972.26,1973.75,1972.1,1973.72,680,12,0
2023-10-24 22:00:00,1973.65,1973.79,1973.01,1973.33,551,12,0
2023-10-24 22:15:00,1973.32,1973.95,1971.67,1971.95,735,12,0
2023-10-24 22:30:00,1971.94,1972.07,1971.25,1971.79,654,12,0
2023-10-24 22:45:00,1971.82,1972.81,1971.13,1972.71,804,12,0
2023-10-24 23:00:00,1972.65,1972.85,1972.29,1972.73,454,12,0
2023-10-24 23:15:00,1972.74,1973.14,1972.19,1972.19,294,12,0
2023-10-24 23:30:00,1972.18,1972.26,1971.46,1971.63,236,12,0
2023-10-24 23:45:00,1971.58,1971.59,1970.8,1971.0,198,12,0
2023-10-25 01:00:00,1970.88,1970.9,1970.02,1970.37,244,12,0
2023-10-25 01:15:00,1970.37,1970.83,1970.09,1970.35,167,12,0
2023-10-25 01:30:00,1970.35,1970.97,1970.33,1970.89,109,12,0
2023-10-25 01:45:00,1970.85,1971.0,1970.47,1970.5,164,12,0
2023-10-25 02:00:00,1970.48,1970.9,1970.38,1970.86,169,12,0
2023-10-25 02:15:00,1970.85,1971.17,1970.8,1971.16,149,12,0
2023-10-25 02:30:00,1971.16,1971.52,1971.14,1971.49,146,12,0
2023-10-25 02:45:00,1971.49,1973.38,1971.43,1972.81,399,12,0
2023-10-25 03:00:00,1972.81,1973.85,1972.48,1973.75,383,12,0
2023-10-25 03:15:00,1973.75,1974.22,1973.46,1973.96,325,12,0
2023-10-25 03:30:00,1973.96,1975.27,1973.08,1973.97,784,12,0
2023-10-25 03:45:00,1973.98,1974.68,1972.02,1974.52,814,12,0
2023-10-25 04:00:00,1974.58,1975.47,1974.01,1974.38,912,12,0
2023-10-25 04:15:00,1974.42,1975.15,1973.38,1973.46,831,12,0
2023-10-25 04:30:00,1973.46,1975.19,1972.76,1975.19,800,12,0
2023-10-25 04:45:00,1975.2,1976.96,1973.92,1975.99,1038,12,0
2023-10-25 05:00:00,1976.0,1976.84,1975.58,1976.06,692,12,0
2023-10-25 05:15:00,1976.06,1976.55,1975.6,1976.55,425,12,0
2023-10-25 05:30:00,1976.55,1976.55,1974.57,1974.8,533,12,0
2023-10-25 05:45:00,1974.78,1974.94,1971.34,1972.68,930,12,0
2023-10-25 06:00:00,1972.67,1973.3,1972.14,1972.33,575,12,0
2023-10-25 06:15:00,1972.33,1972.93,1971.17,1971.29,642,12,0
2023-10-25 06:30:00,1971.29,1972.34,1970.89,1971.0,345,12,0
2023-10-25 06:45:00,1971.01,1973.31,1970.9,1973.31,440,12,0
2023-10-25 07:00:00,1973.26,1974.26,1972.9,1973.3,638,12,0
2023-10-25 07:15:00,1973.3,1974.28,1973.04,1974.26,298,12,0
2023-10-25 07:30:00,1974.26,1974.5,1973.72,1973.72,289,12,0
2023-10-25 07:45:00,1973.72,1973.76,1971.84,1972.46,449,12,0
2023-10-25 08:00:00,1972.47,1972.52,1970.78,1972.21,681,12,0
2023-10-25 08:15:00,1972.22,1972.89,1971.88,1972.88,354,12,0
2023-10-25 08:30:00,1972.88,1973.12,1972.16,1972.48,529,12,0
2023-10-25 08:45:00,1972.48,1973.51,1971.96,1972.84,525,12,0
2023-10-25 09:00:00,1972.83,1974.74,1972.63,1974.67,857,12,0
2023-10-25 09:15:00,1974.71,1975.96,1974.4,1974.78,890,12,0
2023-10-25 09:30:00,1974.78,1974.87,1972.7,1973.87,814,12,0
2023-10-25 09:45:00,1973.86,1973.86,1971.27,1971.32,845,12,0
2023-10-25 10:00:00,1971.28,1973.28,1971.03,1972.37,1217,12,0
2023-10-25 10:15:00,1972.37,1972.69,1968.34,1968.68,1247,12,0
2023-10-25 10:30:00,1968.69,1970.94,1968.63,1970.46,1057,12,0
2023-10-25 10:45:00,1970.47,1971.7,1969.93,1971.18,925,12,0
2023-10-25 11:00:00,1971.17,1971.62,1970.64,1971.46,998,12,0
2023-10-25 11:15:00,1971.46,1973.57,1970.63,1973.15,946,12,0
2023-10-25 11:30:00,1973.07,1974.92,1972.47,1973.9,956,12,0
2023-10-25 11:45:00,1973.91,1974.37,1971.34,1971.39,1001,12,0
2023-10-25 12:00:00,1971.39,1971.95,1970.43,1970.84,1016,12,0
2023-10-25 12:15:00,1970.83,1971.94,1969.68,1969.87,802,12,0
2023-10-25 12:30:00,1969.94,1971.82,1969.94,1970.99,915,12,0
2023-10-25 12:45:00,1970.99,1970.99,1969.44,1969.51,807,12,0
2023-10-25 13:00:00,1969.49,1971.06,1969.45,1971.05,855,12,0
2023-10-25 13:15:00,1971.06,1973.15,1970.98,1973.06,853,12,0
2023-10-25 13:30:00,1973.04,1973.97,1971.89,1972.15,909,12,0
2023-10-25 13:45:00,1972.15,1973.28,1971.8,1973.09,890,12,0
2023-10-25 14:00:00,1973.07,1973.98,1972.48,1973.84,932,12,0
2023-10-25 14:15:00,1973.84,1974.41,1972.56,1974.04,913,12,0
2023-10-25 14:30:00,1974.02,1976.37,1973.75,1976.08,1001,12,0
2023-10-25 14:45:00,1976.05,1976.48,1973.9,1974.69,1084,12,0
2023-10-25 15:00:00,1974.69,1976.9,1974.57,1976.48,1218,12,0
2023-10-25 15:15:00,1976.49,1976.49,1973.76,1974.24,1574,12,0
2023-10-25 15:30:00,1974.22,1975.21,1972.4,1974.23,1631,12,0
2023-10-25 15:45:00,1974.31,1976.85,1973.49,1975.07,1603,12,0
2023-10-25 16:00:00,1975.13,1978.57,1974.83,1977.57,1582,12,0
2023-10-25 16:15:00,1977.58,1978.04,1976.17,1977.93,1470,12,0
2023-10-25 16:30:00,1977.93,1980.39,1976.55,1979.5,2333,12,0
2023-10-25 16:45:00,1979.48,1987.27,1979.03,1985.13,2316,12,0
2023-10-25 17:00:00,1985.13,1985.79,1974.85,1976.63,2368,12,0
2023-10-25 17:15:00,1976.68,1978.25,1975.76,1976.51,2023,12,0
2023-10-25 17:30:00,1976.53,1978.81,1975.62,1978.32,1999,12,0
2023-10-25 17:45:00,1978.32,1978.32,1975.97,1977.2,1926,12,0
2023-10-25 18:00:00,1977.08,1977.59,1963.12,1975.21,2358,12,0
2023-10-25 18:15:00,1975.29,1976.6,1972.35,1975.38,1873,12,0
2023-10-25 18:30:00,1975.32,1982.09,1974.7,1981.51,2011,12,0
2023-10-25 18:45:00,1981.53,1984.74,1980.9,1981.24,1889,12,0
2023-10-25 19:00:00,1981.24,1983.66,1980.24,1982.7,1480,12,0
2023-10-25 19:15:00,1982.7,1983.27,1980.32,1980.96,1286,12,0
2023-10-25 19:30:00,1980.98,1981.38,1978.36,1980.29,1314,12,0
2023-10-25 19:45:00,1980.21,1980.32,1977.58,1978.19,1414,12,0
2023-10-25 20:00:00,1978.19,1980.02,1976.58,1979.56,1576,12,0
2023-10-25 20:15:00,1979.49,1984.32,1979.45,1984.01,1930,12,0
2023-10-25 20:30:00,1984.0,1984.99,1982.98,1984.29,1357,12,0
2023-10-25 20:45:00,1984.28,1985.65,1982.97,1983.1,1088,12,0
2023-10-25 21:00:00,1983.11,1983.98,1982.15,1983.88,996,12,0
2023-10-25 21:15:00,1983.88,1984.36,1982.66,1983.53,821,12,0
2023-10-25 21:30:00,1983.53,1983.53,1982.17,1982.27,604,12,0
2023-10-25 21:45:00,1982.27,1982.57,1980.78,1981.51,796,12,0
2023-10-25 22:00:00,1981.52,1982.19,1980.89,1981.6,609,12,0
